comments,status,rating
ബംഗാളിൽ വന്നതുപോലെ കേരളത്തിൽ കൊണ്ടുവന്ന പിണറായി വിജയന് 🙏🙏💪💪,neutral,3
"Enthu kaaryum …thinnu kozuthu mudipikaan alathae ivan maarku enthu aryaam elaa rashtreeya kaarum kanaka. Avantae okae veetil Sukham alae…company , business , doctor , foreign university….pottanmaaraya janam",negative,4
"സജീഷിനെന്താ സുഖമില്ലേ? മരണ വീട്ടിലെ കാരണവരെപ്പോലെ .. . തീർച്ചയായുംനമ്മുടെ വരുമാനം വർദ്ധിപ്പിക്കേണ്ടതുണ്ട്. എന്നാൽഒരു ഗൃഹപാഠവും നടത്താതെയാണ് ധനമന്ത്രി ബജറ്റ് തയ്യാറാക്കിയതെന്നു പറയേണ്ടിയിരിക്കുന്നു. വളരെ എളുപത്തിലും വേഗത്തിലും പണം കണ്ടെത്താനുള്ള രീതിയാണ് അവലംബിച്ചിട്ടുള്ളത്.. ധൂർത്തും. അനാവശ്യ ചെലവു കളും , നഷ്ടങ്ങളും ഒഴിവാക്കാനുള്ള ഒരു നടപടിയും കാണുന്നില്ല. സർക്കാർ ഓഫീസുകളിലെ ജീവനക്കാരുടെ എണ്ണം ഗണ്യമായി കുറക്കണം. ഇന്ന് പല സർക്കാർ ഒഫീസുകളിലും ജോലിയില്ലാതെ വെറുതെയിരുന്നു സമയം കൊല്ലുകയാണ്. ഉദാ.. കേരളത്തിൽ കൃഷിയുത്പാദനം നാൾക്കു നാൾ കുറഞ്ഞു കുറഞ്ഞു വരികയാ ണെന്ന് എല്ലാവർക്കുമറിയാം, എന്നാൽ കൃഷിയുമായി ബന്ധപ്പെട്ട് എന്തു മാത്രം ഓഫീസുകളും ജീവനക്കാരുമാണുള്ളത്. ഇതു പോലെ ജനങ്ങൾക്കയാതൊരു ഉപയോഗവുമില്ലാത്ത നൂറു കണക്കിന് ഓഫീസുകൾ കേരളത്തിലുണ്ട്. വി.ഇ.ഒ, ബ്ലോക്ക് തുടങ്ങി കാലഹരണപ്പെട്ട് ,വല്ലപ്പോഴും എന്തെങ്കിലും ജോലി മാത്രമുള്ള എല്ലാ ഓഫീസുകളും നിർത്തലാക്കി ജീവനക്കാരെ പുനർവിന്യസിക്കണം.",positive,1
സനീഷിന് മറുപടി ഇല്ല.......,negative,1
എന്ത് പറഞ്ഞാലും കേന്ദ്രം... ഉള്ളുപ് ലേശം,negative,0
Where else to increase the rates ? This govt is a total failure...,negative,0
സർക്കാർ സ്കൂളിൽ അഡ്മിഷൻ കൂടിയതും റേഷൻ കടയിൽ കൂടുതൽ ആളുകൾ പോകുന്നതും കഴിഞ്ഞ 6 വർഷത്തെ ദുർഭരണം മൂലം ജനങ്ങൾ സാമ്പത്തികമായി തകർന്ന് തരിപ്പണമായതുകൊണ്ടാണ്. ഇവനൊക്കെ ദൂർത്തടിക്കാൻ വേണ്ടിയാണീ ബഡ്ജറ്റ് 😏😏😏,positive,5
കേരള മോഡല്‍ വിജയിക്കേണ്ടത് രാജ്യത്തിന്റെ പ്രതിരോധ സംവിധാനത്തിന് അനിവാര്യമാണ് പാകിസ്താനെ ചെറുക്കാന്‍ കേരളത്തിന്‌ മാത്രമേ കഴിയൂ,negative,2
ജനത്തിന് വിലയുണ്ട് കിലോക്ക് കാലണ,negative,0
അനുഭവിക്കുക അത്ര തന്നെ,negative,1
തമിഴ് നാട്ടിലോ കർണാടക യിലോട്ടോ മാറുന്നതാ നല്ലത് എന്ന് തോന്നുന്നു... ഇവിടെ ജീവിതം അസാധ്യം,positive,2
ldf vanu ellam sheriyay,neutral,5
പുതിയ ബ്രാഹ്മണർ. 🙏👍,positive,4
"CPM was a party which was meant to help the downtrodden people,but these fellows are turning out to be thieves robbing people",negative,2
What blah blah is this CPM fellow saying?,negative,4
മൊത്തത്തിൽ പറഞ്ഞാൽ ഊമ്പി,negative,4
ഇപ്പ്രാവശ്യം ലോകസമാധാനത്തിന് ഒന്നുമില്ലേ. കഴിഞ്ഞ പ്രാവശ്യത്തെ സമാധാനം കുറച്ചു ബാക്കി ഉണ്ട്.,negative,2
യുഡിഎഫ് ഇൻ്റെ കാലത്ത് അൽകാർക്ക് കയ്യിൽ പൈസ ഉണ്ടായിരുന്നു . പ്രൈവറ്റ് സ്കൂൾ il പഠിപ്പിക്കാനുള്ള സാമ്പത്തിക സ്ഥിതി ഉണ്ടായിരുന്നു . ഇപ്പൊൾ government school il പഠിപ്പിക്കാനും റേഷൻ കടകളിൽ പോകാനും ക്ഷേമ പെൻഷൻ വാങ്ങാനും തൊഴിലുറപ്പ് ഇനു പോകാനും ജനങ്ങൾ nirbandhitharayieikukayaanu,neutral,3
മോഡിക്ക് പഠിക്കുന്ന പിണറയി സഖാക്കൾ,negative,4
",",negative,1
"Mla, മന്ത്രി ഇവര്ക് തലയിൽ ചുമക്കുവാൻ പറ്റാതെ യുള്ളസാലറി,, വണ്ടി പെട്രോൾ ഡ്രൈവർ കാവൽക്കർ ടെക്സ് എല്ലാം ഫ്രീ പിന്നെ എന്തിന് സാലറി",negative,1
Chakkichokkan,negative,0
😂🤣🤣,positive,0
കാട്ടു കള്ളന്മാർക്ക് ഇനിയും വിലയേറിയ വോട്ട് കൊടുത്ത് വിജയിപ്പിക്കുക ... എല്ലാം ശേരിയാകും..... ഇപ്പൊൾ ശേരിയക്കുന്നത് പോലെ...🤬🤬🤬🤬,positive,5
അന്തം കമ്മികളെ നിങ്ങൾക് ബോധം ഉണ്ടോ,positive,2
Ibrahim kunju minister started the developments in the villages by rebuilding bridges that were built by British rulers without taking huge loan. Govt has huge income from tax and NRI resource. Where all this huge money is used? Did your village change from 1947 except some NRI big houses and buildings? No public toilet or drinking water anywhere. Poor villagers are happy when they see their ministers visiting villages by foreign luxury vehicle with security like in Kashmir. Everyone is exploiting the ignorance of the public. The person who failed in duck business became very rich by speaking religious book. Politic leaders are getting very rich by delivering exciting speach for the poor and workers. I remember the music. Pothujanam kazhutha.,positive,0
PG സൂപ്പർ ഇങ്ങനെവേണം ആർജിമെൻറ് ജനങ്ങൾക്കുവേണ്ടിന്യായീകരണ തൊഴിലാളിക്ക് പറയാൻ സമയം കൊടുക്കരുത് ഉത്തരം മുട്ടുമ്പോൾ പയർ അഞ്ഞാഴി,neutral,1
സ്ടജീഷ് പൊട്ടനാണോ,positive,2
ഉളുപ്പ് ഇല്ലെഇയാൾക്ക്ഇങ്ങനെവന്നു തള്ളാൻ / കുട്ടികൾ കിടപ്പാടം പണയപ്പെടുത്തി അന്യ രാജ്യങ്ങളിൽ പോകുവയാണ് ഉപജീവനത്തിനുവേണ്ടി കരുതലിന്റെ വിത്തുപാകിയ മണ്ണുവിട്ട്,negative,5
ഇനി കിറ്റിൽ വിഷം തന്നേക്കു LDF സർക്കാർ 💥💥💥,negative,4
ഈ സജീഷ് എന്നു പേരുള്ള പിണുവിന്റെ ചിറിനക്കി ന്യായീകരണത്തൊഴിലാളി യുടെ വേഷം കെട്ടി എന്തൊക്കെയാണ് പുലമ്പുന്നത്. ഇത്ര ജനദ്രോഹപരമായ ബജറ്റ് കേരളത്തിൽ ഇതിനു മുമ്പു അവതരിപ്പിച്ചിട്ടുണ്ടോ എന്നോർമയില്ല.എന്നിട്ടും ഉളുപ്പില്ലാതെ ചാനൽ ചർച്ചകളിൽ വന്നിരുന്നു ന്യായീകരിക്കുവാൻ കാണ്ടാമൃഗത്തിന്റെ തൊലിക്കട്ടി പോര ! ഇവനൊക്കെ വീട്ടിൽ സസുഖം കഴിയാനുള്ള വക പിണു കൊടുക്കുന്നുണ്ടായിരിക്കാം. UDF ഭരിച്ചാലും BJP ഭരിച്ചാലും അതതു പാർട്ടികളുടെ ന്യായീകരണ തൊഴിലാളികൾ ചാനൽ ചർച്ചകളിൽ അവരവരുടെ പാർട്ടി എന്തു ജനദ്രോഹം ചെയ്താലും ഇയാളെപ്പോലെ തന്നെ അവരവരുടെ പാർട്ടി ഏല്പിച്ച പണി ചെയ്യുന്നു. എന്നാലും ഒരുളുപ്പു വേണ്ടേ ഇങ്ങനെ വന്നു തള്ളാൻ . ധനമന്ത്രിയുടെ പൊട്ടത്തരം കേട്ടുമടുത്തിരിക്കുമ്പോഴാണ് ചാനൽ ചർച്ചകളിൽ അവതാരങ്ങളുടെ പുലമ്പല് . ന്യൂസ് ചാനലുകാർ ഇതു മാതിരി ചർച്ചകൾ ഒഴിവാക്കി നിഷ്പക്ഷമായ വാർത്തകൾ അവതരിപ്പിക്കുകയാണ് വേണ്ടത് . പ്രേക്ഷകരെ റാഗിങ്ങ് നടത്തുന്ന ന്യൂസ്ചാനൽ അവതാരകരും ന്യായീകരണത്തൊഴിലാളികളും കൂടി നടത്തുന്ന ഈ പ്രഹസനം ഒഴിവാക്കിയാൽ മതിയായിരുന്നു.,negative,2
"കേരളത്തിലെ പുതിയ ബ്രാഹ്മണര് കമ്മ്യൂണിസ്റ്റുകാർ ആണ്, സര്ക്കാര് ജീവനക്കാർ ആണ്",positive,4
"Dr Jose sir, you are the only person who speaks properly.. Both sajeesh and cp are completely corrupt only",negative,5
സജീഷേ കുപ്പി അല്ല stamp ആണല്ലേ മുഖം കണ്ടാൽ അറിയാം 😂പൊളി മച്ചു,negative,4
മദ്യപിച്ചു വണ്ടി ഓടിക്കരുത്,neutral,2
Ldf nade mudupikkum,negative,4
NDF tte vottu CPM nnu venda enhallee enni CPM nnu rakshsyullu,positive,0
ഖജനാവിൽ സാമ്പത്തിക ബാധ്യത മാറ്റാൻ സർക്കാർ ചിലവ് കുറക്കില്ല. നമ്മൾ കഴുതകൾ വേണം ഖജനാവിൽ ക്യാഷ് നിറയ്ക്കാൻ.<br>കുറേ മന്ത്രി മാരുടെ satafine മാറ്റിയാലും MLA മാരുടെ പെൻഷൻ കുറച്ചാലും മതി,negative,2
Ee vayassan maare maati cheruppakaare ministers aaakuu🤌🏻🤌🏻🤌🏻🤌🏻🤌🏻👍,negative,4
Election timeil kit eettum vaa apoo nookkaamm?,negative,2
Sajeeeshinu oru shoooda kodukku.,neutral,3
It’s better to include more experts in the panel than having a guy waiting for capsules,negative,4
"ഭരിക്കാൻ അറിയില്ലെങ്കിൽ ഇട്ടു പോടേയ്..സജീഷ് ചോദിച്ചത് കേട്ടില്ലേ, പിന്നെ ഞങൾ എങ്ങിനെ ഭരിക്കും എന്നാണ് ചോദിക്കുന്നത്",negative,1
ജനത്തിന്റെ വില അടുത്ത ഇലക്ഷന് കാണിച്ചു തരാം,negative,1
"സാധാരണക്കാരന് കഞ്ഞി കൊടുക്കാനുളള ഫണ്ട് കണ്ടെത്താനായി സംസ്ഥാന സർക്കാർ വില കൂട്ടുന്നു🙈, ആ കഞ്ഞി കുടിച്ച ജനങ്ങൾക്ക് മലമൂത്ര വിസർജ്ജനം നടത്താനുള്ള കക്കൂസുകൾ നിർമ്മിക്കാനായി കേന്ദ്രവും വില കൂട്ടുന്നു.🤣🙈",negative,0
Adutha Onam kittil alpam eli visham koodi tharu please.,neutral,0
സജീഷേ നീ ചോറുതന്നേയാണോ തിന്നുന്നത് അല്ല തീ...... മോ,negative,5
എല്ലാവരും ശ്രദ്ധിക്കുക അടുത്ത കിറ്റിൽ എല്ലാവർക്കും ഒരു കോട്ടർ കൂടി നൽകുന്നതായിരിക്കും സന്തോഷമായി ഗോപിയേട്ടാ😀😀😀🙏🙏🙏,neutral,2
ചോദിക്കുന്ന ഒരു ചോദ്യത്തിനും ഉത്തരമില്ല. അതിനു ചുമ്മാ കണാകുണാ മറുപടി പറയുന്ന ഈ ഊളയെ ഒക്കെ എന്തിനാണോ ചർച്ചക്ക് വിളിക്കുന്നത്.,neutral,0
ഇന്നോവ നല്ല മൈലേജാണ്<br>ബഡ്ജറ്റ് കിറ്റ് വിതരണം ഉടനേ ഉണ്ടാകും,negative,1
Dear Asianet… You should try to bring people who can have direct conversations for such debates. This CPM guy keeps speaking like he is in his party office explaining chakka when asked about Manga… enthu shokam aanu to listen to him…,negative,2
Just skip the part where he is speaking and listen to others!!,negative,5
@Naveenkumar Jbyju <br><br>But where we can question instead of him in this debate ? if he not willing to give direct answers then he should be out for annother person to answer these question. Skipping isnt give us no person to take the respnsibility of the Govts idiotic actions.,negative,4
പെൻഷനും ശമ്പളവു പിന്നെ എവിടെന്ന് എടുത്ത് കൊടുക്കും ഇനിയും ശമ്പളം പെൻഷൻ ഉം കൂട്ടണം അതിനെ ക്ഷേമ പെൻഷൻ കാരുടെ തലയിൽ വെച്ച് കെട്ടരുത്,negative,2
Mafia criminals looting the public...,negative,4
കിറ്റ് ചൂണ്ടയിലെ ഇരയായിരുന്നു,positive,4
".. Uralungalude. Deposit. Uyarnna. Censesila, kippy. Podipodikkunnu. Nadakkan. Vere. Vazhinokkada. Mone",negative,2
ബാല ഗോപാൽ ഉള്ള കാര്യം ഉള്ളത് പോലെ പറഞ്ഞു,negative,3
അവരെ ജയിപ്പിച്ചു വിട്ട പ്രമുഖ മലയാളികൾ ഉണ്ടല്ലോ അവർ അനുഭവിക്കട്ടെ,negative,4
കുടിയന്മാർക്ക് പണി കിട്ടാത്ത ഒരു ബജറ്റും ഇല്ല,neutral,1
Oru vattam koode ee pundakal baranathil varanam😡,neutral,1
Anthamkammi.sajeesh.enthanu.ee.pulambunnath,negative,0
"CPM nyayeekaranam teams charchyk vilikkaruth, they simply waste time",negative,0
LDF urappanu<br>LDF varum ellam sariyaavum<br><br>Raashtreeyakaar naadumudikkum munbu enthelum cheyyanam,negative,5
Kovalante.udayip.bajat,neutral,2
കൃത്യമായ നിരീക്ഷണം നടത്തി ഏറ്റവും ഉചിതമായ തീരുമാനം എടുത്ത കേരളത്തിലെ എല്ലാ മര കഴുതകളും അനുഭവിക്കുക. പേടിക്കണ്ട 2 വർഷം കഴിഞ്ഞതേ ഒള്ളു ഇനിം അനുഭവിക്കാൻ കിടക്കുന്നു. ഇവനൊക്കെ സ്വന്തം പാർട്ടിക്കാരേം അനുഭവികളേം മാത്രമേ മനുഷ്യരായി കാണു. ഇവന്മാർക്കു വോട്ട് ചെയ്ത എല്ലാ ബുദ്ധിമാന്മാരായ മലയാളികളും ഓർത്തൊള്ളൂ പടുകുഴുയിലേക്കാണ് നിങ്ങൾ ഒരു സംസഥാനത്തെയും ജനങ്ങളെയും തള്ളി വീട്ടിരിക്കുന്നെ. നമ്മുടെ അയൽ സംസ്ഥാനങ്ങൾ എല്ലാം വികസിക്കുന്നു ഇവിടെ സഖാകന്മാരുടെ കീശയും. എല്ലാം ശെരിയാകും എല്ലാത്തിനേം ശെരിയാക്കും,negative,0
ഇന്നത്തെ ബഡ്‌റ്റിൽ പറഞ്ഞ ആനുകൂല്യം കമ്മികൾക്ക് മാത്രം കൊടുക്കാൻ പറ്റോ സാറേ,neutral,1
CPM polit bureau budget,positive,2
Kit nd Pappad 👏👏👏 LDF 😂😂,negative,5
Randu Roopa pinarayi🤣,negative,4
ഈ സജീഷ് ഒക്കെ ഏതൊരു<br>സ്കൂളിൽ നിന്നാണ് വരുന്നത്,negative,2
പ്രബുദ്ധര് ഉണ്ട് 😂😢😅,negative,4
"എൽഡിഎഫ് നേ അടുത്ത തെരഞ്ഞെടുപ്പിൽ തോറ്റ് തുന്നം പാടുന്ന വരേ വോട്ട് കുത്തി... കുത്തി,,, കുത്തി<br>തോൽപ്പിക്കണം",positive,5
Where is Congress ? Where is opposition? Who will agitate against this anti people budget,negative,4
"കിറ്റ് വാങ്ങി നക്കിയ മനുഷ്യന്മാർ ഇനി എന്തൊക്കെ അനുഭിക്കാൻ എത്ര ഇരിക്കുന്നു,,,",neutral,2
കറുകൾ ഇനീയും വാങ്ങണം സർക്കാർ,neutral,4
kittu,positive,0
Dear Suresh bhayya if you inviting bastards for discussion in future i will boycott Asianet 😄😄😄😄😄,neutral,2
"സജീഷ് ദയവ് ചെയ്ത് ന്യായീകരിക്കാൻ വരാതെ, കേരളത്തിലെ ജനങ്ങളെ കൊല്ലാതെ കൊല്ലുന്ന ഈ നയം സിപിഎം അവസാനിപ്പിച്ചാൽ അടുത്ത തെരഞ്ഞെടുപ്പിൽ ജനങ്ങൾ പൊടിപോലും കാണിക്കില്ല, ഒരു കപ്പിത്താനും ഒരു കപ്പലും അതിൽ കുറെ പേരും മൊത്തം മുങ്ങും അടുത്ത തിരഞ്ഞെടുപ്പിൽ,",positive,4
അ ചെറിയ സ്പാനർ ബാലഗോപാൽ എടുത്തതാണോ.,positive,2
Kit വാങ്ങി വോട്ട് ചെയ്തപ്പോൾ ഓർത്തില്ല അല്ലെ...,negative,3
Bharikan ariyathavar 2amathum<br> keri mudippichu keralam kurai eramoolikal niyayikarikan irangitontu,negative,4
Raajavu nagnanane!,neutral,1
2amathum kuthiyar anufavikattai,neutral,1
പാവം കവർമെന്റ് അവർ എന്ത് ചെയ്യും അടുത്ത ഇലക്ഷന് രണ്ടുമാസം മുമ്പ് കിറ്റ് കിട്ടും 👍🏻<br>ഞങ്ങൾക്കത് മതി..<br>വീണ്ടും പിണറായി വരട്ടെ കേരള ജനത നശിക്കട്ടെ....<br>എന്നിട്ട് വീണ്ടും ഇരട്ട ചങ്കോട് ഞങ്ങന്റെ പണറായി തന്നെ ഭരിക്കും... 🤣🤣🤣,negative,0
കേന്ദ്രം കേരളത്തിൽ ആർക്കും ഒന്നും കൊടുത്തില്ല എന്നായിരുന്നു പരാതി 😂ഇപ്പൊ കേരള സർക്കാർന്റെ ബജെറ്റ് എല്ലാർക്കും കിട്ടില്ലേ 🤑🤑🤑.. സജീഷ് കർണാടകക്ക് വരൾച്ച നേരിടാൻ പൈസ കൊടുത്തു കേരളത്തിന്‌ ഒന്നും തന്നില്ലാ ന്.. അന്തംസ് മനസ്സിലാക്കേണ്ടത് കർണാടകത്തിൽ ഉണ്ടാക്കുന്ന കാർഷിക വിഭവങ്ങൾ ആണ്‌ ഇവിടെ ആൾക്കാർ കഴിക്കുന്നത് നിങ്ങൾ അടക്കം അല്ലാതെ കണ്ണൂരിൽ ഉണ്ടാക്കുന്നതല്ല 😤😤😤,negative,0
Thoyilali vargha sarvadhipathiyam varghasamaram pettiboorshua waistenu.athinde vilayenkilum undu ennal manushionilla,negative,5
Tax rise should have been even higher. If you want quality service you have to pay. It is ironic left has to do this after years of teaching the society the contrary. People are rich state is poor.,negative,2
ഒന്ന് കൊന്ന് തരാമോ എന്നേ 🙏<br>ജീവിക്കാൻ ഇവിടെ പറ്റുന്നില്ല. God is cuntril. Veruthey alla ellarum pourthe poney. Jevikan pattunilla.ethibtey kudey ella parivate company ilum stafintey salary um koodey kuttithayo. Njagle pettu,negative,0
"എന്തിനും ഏതിനും കേന്ദ്രത്തെ കുറ്റം പറഞ്ഞു തടിയൂരുന്ന സമീപനമാണ് കേരള സർക്കാർ എടുക്കുന്നത്, വർഗീയത ഒഴിച്ച് നിർത്തിയാൽ കേരളത്തെക്കാൾ മികച്ച ഭരണമാണ് കേന്ദ്രത്തിലെത്‌ എന്ന് മനസിലാവും.",negative,1
ജനങ്ങളുടെ ശ്രദ്ധക്ക്... ഏതെങ്കിലും സാധനത്തിന് നികുതി കൂട്ടാൻ മറന്നുപോയിട്ടുണ്ടെങ്കിൽ എത്രയും പെട്ടന്ന് കേരളസർക്കാരിന്റെ വെബിലോ.... മുഖ്യമന്ത്രിക്കു നേരിട്ടോ അറിയിക്കണമെന്ന് വിനീതമായി അപേക്ഷിക്കുന്നു..... 👍🙏🙏,negative,2
"In Kerala, what is the production in the industrial sector? We rely on other states, such as Tamil Nadu, Andhra Pradesh, and Karnataka, to explain why this is happening. The only answer is the Kerala government, which is ruled by the Communist and Congress parties.<br><br>The media in Kerala is focusing on Andhra Pradesh and Gujarat. Leave Kerala after finishing your education. Uneducated ministers are our condemnation. All of the ministers&#39; children study in private schools with strict management. Their party supporters study in normal schools. This is the difference between the public and ministers&#39; families.<br><br>We are with the public when these ministers speak in public. what a commedy<br><br>We don&#39;t have cultivation. We don&#39;t have vegetables, rice, wheat, etc. Our future generation: how they can build their future<br><br>I believe we need to change the government, as there is always a left and a right party. The truth has never been fully revealed by the Kerala media because they need money, ratings, etc.",negative,5
കമ്മികളുടെ കള്ളത്തരം നിറഞ്ഞ ബജറ്റ്... കേരളം ഇനിയും കടത്തിൽ മുങ്ങി..,negative,4
സ്വന്തം തള്ളക്കും മക്കൾക്കും അരി വാങ്ങികൊടുക്കേണ്ട കാശിനു പെട്രോൾ അടിച്ചിട്ട് വന്നിരുന്നു ന്യായീകരിക്കുന്ന അന്തംകമ്മികൾ ഉള്ള നാട്ടിൽ പിണു എന്ത് പേടിക്കാൻ.....,positive,2
അണ്ടി കളഞ്ഞ അണ്ണാനെ പോലെ സജേഷിന്റെ ഇരിപ്പ കണ്ടാൽ പെറ്റ തള്ള സഹിക്കില്ല 😂😂😂😂,neutral,4
Its so funny to see the Govt. Justify their budgetary mishaps on the previous government. Very poor.,positive,4
Ethra kashtapettu bharikanam ennila. Keralam UT aakate.,negative,2
"കെെരളി tv യില്‍ ചര്‍ച്ചനടക്കുന്നത് കേട്ടു കേരളം താരതമ്യേന മുന്നിലാണെന്ന്, ഇതിനു പിന്നില്‍ കൃഷിയൊ വ്യവസായമൊ . ഒന്നുമല്ല , നല്ലൊരു വിഭാഗം മാനവശേഷി കേരളത്തില്‍ എത്തിക്കുന്ന വിദേശ നാണ്യമല്ലെ.",positive,3
"Pullan sajeeshe uluppundo ninakku, what do you think? All mallus are fools? This is disaster of your party. Stupids party, ediots party",positive,4
Vote again to these paranaries,negative,1
"ധനസമാഹരണം കോരനെ പിഴിഞ്ഞ്, സര്‍ക്കാരിന്റെ ധൂര്‍ത്തിനൊ ഒരു കുറവുമില്ല",negative,1
എന്തിനാടോ ജനങ്ങളെ പറ്റിക്കുന്നത് നിങ്ങൾക്കിത് ഒഴിവാക്കി പൊയ്ക്കൂടേ ഒന്നുകിൽ കേന്ദ്രത്തിന്റെ തെറ്റായ നയം അല്ലെങ്കിൽ അമേരിക്കൻ കോളനലിസം ദൂര്തെങ്കിലും നിർത്തൂ,neutral,0
കിറ്റ് എന്നത് തേങ്ങാ കൊത്ത് വെച്ച് എലിയെ കെണി വെച്ച് പിടിക്കുന്നത് പോലെ ആയി 😂,neutral,0
ജനങ്ങൾ തെരുവിൽ ഇറങ്ങണം സർക്കാരിനെ താഴെ ഇറക്കണം,positive,5
🤣🤣🤣🤣🤣kendra sarkarine alle.. correct anu,positive,2
Aaar irangaana... Ivide aarkkum onninum vayya... Oru nalla prathipaksham polum illa...,negative,0
Ee new s charchak engilum oru sadharana powrane koode villkkamayirunnu avanu parayan ullath koode Ivan Maru kelkkatee,negative,1
Only Modiji gives to the people and country. Rest all takes from the people and country.,negative,2
Aaar irangaana... Ivide aarkkum onninum vayya... Oru nalla prathipaksham polum illa...,positive,5
Ee new s charchak engilum oru sadharana powrane koode villkkamayirunnu avanu parayan ullath koode Ivan Maru kelkkatee,positive,4
3.5 കോടി ജനങ്ങളെ <br>മേക്കാൻ കഴിയാത്ത കേരള<br>വെട്ടാവളിയന്മാർ 23 കോടി<br>ജനമുള്ള UP യെ കൊഞ്ഞനം<br>കുത്തിക്കാണിച്ചു.<br>ഇപ്പോൾ എങ്ങിനെയിരിക്കുന്നു.?.<br>യോഗിയാണോ ഇരട്ടച്ചങ്കൻ<br>അതോ പിണറായിയോ?.<br>കേരളത്തിലെ ബുദ്ധിജീവികൾ<br>വിലയിരുത്തുക.<br>അല്ലാതെ കള്ളുകുടിയന്മാർ<br>വിലയിരുത്തരുത്.,negative,2
എല്ലാം ജനക്ഷേമത്തിനാണല്ലേ എന്ന് ഓർക്കുമ്പോൾ ഒരു സമാധാനം. ഇനി ഇവൻ മാരെ ജയിപ്പിക്കരുത്. കേരളത്തിലെ ജനങ്ങളെ കൊല ചെയ്യാനുള്ള അണു ബോബാണ് കമ്മ്യൂണിസം.,positive,4
പിണറായി ഗോബാക്ക്,positive,5
വെള്ളരിക്കാപ്പട്ടണം🤣🤣🤣🤣😂😂😂😂😂 വെള്ളരിക്കാ പട്ടണം😂😂😂😂 എന്ന് കേട്ടിട്ടേ ഉള്ളൂ .... ഇപ്പ ഞങ്ങൾക്ക് മനസിലായി .... അത് ഇവിടെയാണ്🙏🙏🙏🙏,negative,4
വെള്ളരിക്കാപ്പട്ടണം🤣🤣🤣🤣😂😂😂😂😂 വെള്ളരിക്കാ പട്ടണം😂😂😂😂 എന്ന് കേട്ടിട്ടേ ഉള്ളൂ .... ഇപ്പ ഞങ്ങൾക്ക് മനസിലായി .... അത് ഇവിടെയാണ്🙏🙏🙏🙏,negative,2
മാണിസാറിന്റെ കാലത്ത് നിയമസഭയില്‍ ചവിട്ടുനാടകം നടത്തിയവര്‍ ഇന്ന് ശാന്തരായി എല്ലാം കേട്ടൂ...ല്ലേ..,negative,4
"കിറ്റ് മേടിച്ചു എന്ന ഒറ്റ തെറ്റേ ഞങ്ങൾ ചെയ്തോളു മൂച്ചിച്ചുകളഞ്ഞില്ലേ ഇനി ഈ തെറ്റ് ആവർത്തിക്കില്ല. ഇടതുപക്ഷം വരും എല്ലാം ശരിയാക്കും,ശരിയാക്കി. നമോവാകം",negative,0
എന്ത് പറഞ്ഞാലും കേന്ദ്രം കേന്ദ്രം .. ഇവൻ്റെയൊക്കെ തൊലിക്കട്ടി ...🤮🤮🤮🤮🤮🤮🤮🤮,negative,2
"എന്തൊരു സമാധാന പ്രിയനാണ്, സജീഷ് ...",negative,4
"എന്തൊരു സമാധാന പ്രിയനാണ്, സജീഷ് ...",neutral,2
"പു മോൻ സംഘടനാ, മാക്രികൾ.പ്രതികരിക്കാൻ ചാവേർ വിഎം മനോജ്‌ ഉണ്ടാക്കിയത് പൊലെ ഇവനൊക്കെ പറ്റിയോ. ഇവൻ എന്താണ് പറയുന്നത് എംഡിഎമേ അടിച്ചോ, പോടാ പുല്ലെ.മൈരാ വിജയൻ പ്രളയതിൽ എന്താണ് ചെയ്തത് വിദേശത്തു പോയതോ, ചർച്ച നിർത്തിപ്പൊടോ,",neutral,3
"Visham , coir ozhike ellathinum Vila kooditundennu churukathil paranjal pore...",neutral,4
ക്യാപ്സ്യൂൾ കിട്ടുന്നതു വരെ ക്ഷമിക്കൂ..,negative,1
"ഹലോ ബജറ്റ് മന്ത്രി, നിങ്ങൾക്ക് ഭ്രാന്താണോ, പ്രവാസികൾക്ക് വേണ്ടിയുള്ള അസംബന്ധ ബജറ്റ്.",positive,1
പെൻഷൻ കുറക്കുക... ഗവണ്മെന്റ് രാഷ്ട്രീയ കാരുടെ സാലറി കുറക്കുക,positive,0
പുരുഷന്മാര്ക്ക് മയക്കുമരുന്ന് വീട്ടിലിരിക്കുന്ന പെണ്ണുങ്ങൾക്ക്‌ കിറ്റ് പിന്നെ എന്തുവേണം പോരാത്തവർ നാടുവിട്ടു പോകുക ജീവിക്കണമെങ്കിൽ,positive,0
Kammikal,negative,5
അവനവൻ കുരുക്കുന്ന...,positive,2
"Iniyum undalo yrs baakki , varan irikane alle ullu",neutral,0
This CPM capsule seller is too itchy 😡,positive,1
അയ്യപ്പനെ മാന്ദി കാൻസർ വന്ന്........ ജനങ്ങളെ മാന്ദി ഇനി എന്താകുമോ എന്തോ,negative,2
എല്ലാം ശെരിയായി... 👌,positive,5
Kumunisam Avnete Ammade kitt,neutral,4
"ഇനി എന്റെ vote ldf ന് ഇല്ല,, എന്ന്‌ പറഞ്ഞ് campaign നടത്തു. ഇവർ കൂട്ടിയത് എല്ലാം കുറയും...",negative,2
ജോസഫ് സാർ ആൺ സത്യം പറഞ്ഞത്,negative,4
കേരളത്തിൽ രാഷ്ട്രീയ നേതാക്കൻമ്മാരുടെ അഴിമതി ഇല്ലാതാക്കിയാൽ മാത്രമെ കേരളം വളരുകയുള്ളൂ,neutral,4
